Country,Year,Status,Life_expectancy,Adult_Mortality,infant_deaths,Alcohol,percentage_expenditure,Hepatitis_B,Measles,BMI,under-five_deaths,Polio,Total_expenditure,Diphtheria,HIV/AIDS,GDP,Population,thinness_1-19_years,thinness_5-9_years,Income_composition_of_resources,Schooling,child_mortality_rate,immunization_avg,economic_strength,education_index,mortality_pressure
Albania,2013,Developing,77.2,84.0,0.0,4.76,6.068140775698127,99.0,0.0,56.5,0.6931471805599453,99.0,5.66,99.0,0.0953101798043248,8.392926891245157,12.57623176793085,1.3,1.4,0.759,14.2,0.6931471805599453,99.0,6.370231510455074,10.7778,84.09531017980433
Albania,2012,Developing,76.9,86.0,0.0,5.14,6.024520519106913,99.0,2.302585092994046,55.8,0.6931471805599453,99.0,5.59,99.0,0.0953101798043248,8.35434818052441,7.9868449011613825,1.3,1.4,0.752,14.2,0.6931471805599453,99.0,6.282469831754356,10.6784,86.09531017980433
Albania,2011,Developing,76.6,88.0,0.0,5.37,6.082360681148413,99.0,3.367295829986474,55.1,0.6931471805599453,99.0,5.71,99.0,0.0953101798043248,8.397999364061072,12.595394821481149,1.4,1.5,0.738,13.3,0.6931471805599453,99.0,6.197723530677071,9.8154,88.09531017980433
Albania,2010,Developing,76.2,91.0,0.6931471805599453,5.28,3.757069671326781,99.0,2.3978952727983707,54.3,0.6931471805599453,99.0,5.34,99.0,0.0953101798043248,6.205282413077391,12.582184463611044,1.4,1.5,0.725,12.5,1.3862943611198906,99.0,4.498829749481109,9.0625,91.09531017980433
Albania,2009,Developing,76.1,91.0,0.6931471805599453,5.79,5.855232229409847,98.0,0.0,53.5,0.6931471805599453,98.0,5.79,98.0,0.0953101798043248,8.322427294820676,14.889666206198394,1.5,1.6,0.721,12.2,1.3862943611198906,98.0,6.000470079565707,8.796199999999999,91.09531017980433
Albania,2008,Developing,75.3,1.0,0.6931471805599453,5.61,3.6275908050833454,99.0,0.0,52.6,0.6931471805599453,99.0,5.87,99.0,0.0953101798043248,6.083450222776355,14.896405144368725,1.6,1.6,0.713,12.0,1.3862943611198906,99.0,4.337500008839541,8.556,1.0953101798043248
Albania,2007,Developing,75.9,9.0,0.6931471805599453,5.58,3.50395107089853,98.0,3.1354942159291497,51.7,0.6931471805599453,99.0,6.1,98.0,0.0953101798043248,5.897529758519371,10.299508201816291,1.6,1.7,0.703,11.6,1.3862943611198906,98.33333333333333,4.145963420239118,8.1548,9.095310179804326
Albania,2006,Developing,74.2,99.0,0.6931471805599453,5.31,1.4591158739967494,98.0,4.23410650459726,5.8,0.6931471805599453,97.0,5.86,97.0,0.0953101798043248,3.5871041704908206,14.911635756385875,1.7,1.8,0.696,11.4,1.3862943611198906,97.33333333333333,2.496624502661611,7.9344,99.09531017980433
Albania,2005,Developing,73.5,15.0,0.6931471805599453,5.16,3.331958816780768,98.0,1.9459101490553128,49.9,0.6931471805599453,97.0,6.12,98.0,0.0953101798043248,5.635299940781998,12.649116093193124,1.8,1.8,0.685,10.8,1.3862943611198906,97.66666666666667,3.860180459435669,7.3980000000000015,15.095310179804326
Albania,2004,Developing,73.0,17.0,0.6931471805599453,4.54,5.406466590142783,99.0,2.079441541679836,48.9,0.6931471805599453,98.0,6.38,97.0,0.0953101798043248,7.790525725110208,12.6975319468052,1.8,1.9,0.681,10.9,1.3862943611198906,98.0,5.305348018800052,7.422900000000001,17.095310179804326
Albania,2003,Developing,72.8,18.0,0.6931471805599453,4.29,2.7548885455196648,97.0,2.19722457733622,47.9,0.6931471805599453,97.0,6.27,97.0,0.0953101798043248,5.250604795816188,12.73557379105924,1.9,2.0,0.674,10.7,1.3862943611198906,97.0,3.538907632380111,7.2118,18.095310179804326
Albania,2002,Developing,73.3,15.0,0.6931471805599453,3.73,4.6588712784519215,96.0,2.833213344056216,46.9,0.6931471805599453,98.0,6.3,98.0,0.0953101798043248,7.282515635372728,8.163940954755008,2.0,2.1,0.67,10.7,1.3862943611198906,97.33333333333333,4.879285475699728,7.169,15.095310179804326
Albania,2001,Developing,73.6,14.0,0.6931471805599453,4.25,4.576828022375532,96.0,2.9444389791664403,46.0,0.6931471805599453,97.0,6.0,97.0,0.0953101798043248,7.19140929218502,10.49609590771746,2.1,2.1,0.662,10.6,1.3862943611198906,96.66666666666667,4.760712951426484,7.0172,14.095310179804326
Albania,2000,Developing,72.6,11.0,0.6931471805599453,3.66,4.529492958027057,96.0,6.496774990185863,45.0,0.6931471805599453,97.0,6.26,97.0,0.0953101798043248,7.070544805715177,10.569469065023304,2.1,2.2,0.656,10.7,1.3862943611198906,96.66666666666667,4.638277392549156,7.0192,11.095310179804326
Algeria,2015,Developing,75.6,19.0,3.091042453358316,3.77,0.0,95.0,4.158883083359672,59.5,3.218875824868201,95.0,5.75,95.0,0.0953101798043248,8.3269433897825,17.501173068258527,6.0,5.8,0.743,14.4,6.309918278226517,95.0,6.186918938608398,10.6992,19.095310179804326
Algeria,2014,Developing,75.4,11.0,3.091042453358316,0.01,4.01163878101945,95.0,0.0,58.4,3.218875824868201,95.0,7.21,95.0,0.0953101798043248,6.307828277513971,17.481973478503658,6.0,5.8,0.741,14.4,6.309918278226517,95.0,4.674100753637852,10.6704,11.095310179804326
Algeria,2013,Developing,75.3,112.0,3.091042453358316,0.53,6.301612504587525,95.0,3.258096538021482,57.2,3.218875824868201,95.0,7.12,95.0,0.0953101798043248,8.607557846977695,17.46196681444118,5.9,5.8,0.737,14.4,6.309918278226517,95.0,6.343770133222561,10.6128,112.09531017980433
Algeria,2012,Developing,75.1,113.0,3.091042453358316,0.66,6.32243252627382,95.0,2.9444389791664403,56.1,3.218875824868201,95.0,6.14,95.0,0.0953101798043248,8.624400619281232,17.441605897735318,5.9,5.8,0.732,14.4,6.309918278226517,95.0,6.313061253313862,10.5408,113.09531017980433
Algeria,2011,Developing,74.9,116.0,3.091042453358316,0.56,6.23441472669076,95.0,4.727387818712341,55.0,3.218875824868201,95.0,5.29,95.0,0.0953101798043248,8.600293183905098,17.421539756511166,5.9,5.8,0.724,14.0,6.309918278226517,95.0,6.226612265147291,10.136,116.09531017980433
Algeria,2010,Developing,74.7,119.0,3.091042453358316,0.45,6.067771638586006,95.0,4.6443908991413725,53.9,3.218875824868201,95.0,5.12,95.0,0.0953101798043248,8.403888913011384,17.402291891240836,5.9,5.8,0.714,13.6,6.309918278226517,95.0,6.000376683890128,9.7104,119.09531017980433
Algeria,2009,Developing,74.4,123.0,3.044522437723423,0.5,5.866648329351803,94.0,4.68213122712422,52.8,3.1780538303479458,94.0,5.36,95.0,0.0953101798043248,8.26096617525377,15.08149347093518,6.0,5.9,0.705,13.1,6.222576268071369,94.33333333333333,5.823981153553908,9.2355,123.09531017980433
Algeria,2008,Developing,74.1,126.0,3.044522437723423,0.46,3.786168886178328,91.0,5.384495062789089,51.8,3.1780538303479458,92.0,4.2,93.0,0.0953101798043248,6.207089637494888,15.064470876972422,6.0,5.9,0.697,12.6,6.222576268071369,92.0,4.326341477333936,8.7822,126.09531017980433
Algeria,2007,Developing,73.8,129.0,3.044522437723423,0.44,5.772449723667242,9.0,0.0,5.8,3.1780538303479458,95.0,3.82,95.0,0.0953101798043248,8.277966838134029,10.445143015094558,6.0,5.9,0.69,12.3,6.222576268071369,66.33333333333333,5.71179711831248,8.487,129.09531017980433
Algeria,2006,Developing,73.4,132.0,3.044522437723423,0.36,5.603004761160019,8.0,6.851184927493743,49.8,3.1780538303479458,95.0,3.36,95.0,0.0953101798043248,8.150646221844118,17.335317774131166,6.1,6.0,0.686,12.3,6.222576268071369,66.0,5.591343308185065,8.437800000000001,132.09531017980433
Algeria,2005,Developing,72.9,136.0,2.995732273553991,0.5,1.266644108986823,83.0,7.741967899820685,48.9,3.1354942159291497,88.0,3.24,88.0,0.0953101798043248,3.4695529212073555,17.320720687453086,6.1,6.0,0.68,12.0,6.13122648948314,86.33333333333333,2.3592959864210017,8.16,136.09531017980433
Algeria,2004,Developing,72.3,14.0,2.995732273553991,0.45,5.399942560068284,81.0,8.098642843759418,47.9,3.1780538303479458,86.0,3.54,86.0,0.0953101798043248,7.863259916294093,15.004328200775426,6.2,6.1,0.673,11.7,6.173786103901937,84.33333333333333,5.291973923665925,7.8741,14.095310179804326
Algeria,2003,Developing,71.7,146.0,3.044522437723423,0.34,3.258808692071887,91.0,9.64049809267472,47.0,3.1780538303479458,87.0,3.6,87.0,0.0953101798043248,5.688112201411935,14.992168176258437,6.3,6.1,0.663,11.5,6.222576268071369,88.33333333333333,3.7712183895361133,7.6245,146.09531017980433
Algeria,2002,Developing,71.6,145.0,3.044522437723423,0.36,5.007376552159703,91.0,8.676416696964216,46.1,3.1780538303479458,86.0,3.73,86.0,0.0953101798043248,7.481745390959664,14.97851979524904,6.3,6.2,0.653,11.1,6.222576268071369,87.66666666666667,4.88557974029666,7.2483,145.09531017980433
Algeria,2001,Developing,71.4,145.0,3.044522437723423,0.23,5.003852821038969,91.0,7.8961806086154915,45.3,3.218875824868201,89.0,3.84,89.0,0.0953101798043248,7.4581042502953085,17.268419356588552,6.4,6.3,0.644,10.9,6.263398262591624,89.66666666666667,4.803019137190179,7.0196000000000005,145.09531017980433
Algeria,2000,Developing,71.3,145.0,3.091042453358316,0.25,5.046362370576019,91.0,0.0,44.4,3.258096538021482,86.0,3.49,86.0,0.0953101798043248,7.472033307478495,14.952820025329515,6.5,6.4,0.636,10.7,6.349138991379798,87.66666666666667,4.752213183556322,6.805199999999999,145.09531017980433
Angola,2015,Developing,52.4,335.0,4.204692619390966,3.77,0.0,64.0,4.77912349311153,23.3,4.59511985013459,7.0,5.75,64.0,1.0647107369924282,8.215221168362245,14.840094461055156,8.3,8.2,0.531,11.4,8.799812469525556,45.0,4.362282440400352,6.053400000000001,336.0647107369924
Angola,2014,Developing,51.7,348.0,4.219507705176107,8.33,3.21749935797215,64.0,9.367344120785848,22.7,4.624972813284271,68.0,3.31,64.0,1.0986122886681098,6.17443639241852,14.805968431670165,8.5,8.3,0.527,11.4,8.844480518460378,65.33333333333333,3.25392797880456,6.0078000000000005,349.0986122886681
Angola,2013,Developing,51.1,355.0,4.248495242049359,8.1,3.609797631038728,77.0,9.050640993218508,22.1,4.663439094112067,67.0,4.26,77.0,1.1939224684724346,6.185420008498344,14.77095853943948,8.6,8.5,0.523,11.4,8.911934336161426,73.66666666666667,3.234974664444634,5.9622,356.1939224684724
Angola,2012,Developing,56.0,358.0,4.290459441148391,8.24,5.549552719535908,75.0,8.402679804627477,21.5,4.709530201312334,75.0,3.3,75.0,1.2809338454620642,8.433648523096771,12.466958895194791,8.8,8.6,0.508,10.3,8.999989642460726,75.0,4.28429344973316,5.2324,359.2809338454621
Angola,2011,Developing,51.0,361.0,4.330733340286331,8.06,5.484346176728367,72.0,7.27931883541462,21.0,4.7535901911063645,73.0,3.38,71.0,1.252762968495368,8.366400275651035,17.00263008706968,8.9,8.8,0.495,9.4,9.084323531392695,72.0,4.141368136447262,4.6530000000000005,362.25276296849535
Angola,2010,Developing,49.6,365.0,4.3694478524670215,7.8,5.260894487961259,77.0,7.0825485693553,2.4,4.804021044733257,81.0,3.39,77.0,1.252762968495368,8.169204645533457,16.9669265641907,9.1,9.0,0.488,9.0,9.173468897200278,78.33333333333333,3.9865718670203267,4.3919999999999995,366.25276296849535
Angola,2009,Developing,49.1,369.0,4.406719247264253,7.01,5.365615821655336,61.0,7.940227765145702,19.8,4.852030263919617,63.0,4.37,6.0,1.252762968495368,8.116370744459195,16.931225579366174,9.3,9.2,0.48,8.5,9.25874951118387,43.333333333333336,3.895857957340413,4.08,370.25276296849535
Angola,2008,Developing,48.7,371.0,4.442651256490317,7.07,5.525095089453854,69.0,5.583496308781699,19.3,4.897839799950911,65.0,3.84,69.0,1.2809338454620642,8.260900964340689,14.592972691761938,9.5,9.4,0.468,8.1,9.340491056441227,67.66666666666667,3.8661016513114426,3.7908,372.2809338454621
Angola,2007,Developing,48.2,375.0,4.477336814478207,6.35,5.224785699221859,73.0,6.922643891475888,18.8,4.934473933130692,75.0,3.38,73.0,1.2809338454620642,7.965489024308915,14.9133518828495,9.6,9.6,0.454,7.7,9.4118107476089,73.66666666666667,3.6163320170362474,3.4958,376.2809338454621
Angola,2006,Developing,47.7,381.0,4.51085950651685,5.84,3.2614328218169044,91.0,6.641182169740591,18.2,4.969813299576001,36.0,4.54,34.0,1.252762968495368,5.57373130094313,14.631936754684393,9.8,9.7,0.439,7.2,9.480672806092851,53.666666666666664,2.446868041114034,3.1608,382.25276296849535
Angola,2005,Developing,47.4,382.0,4.532599493153256,5.04,4.59705183285554,91.0,5.556828061699537,17.7,5.003946305945459,39.0,4.1,38.0,1.2809338454620642,7.275859015063806,16.78861591266275,1.0,9.9,0.426,6.8,9.536545799098715,56.0,3.0995159404171813,2.8968,383.2809338454621
Angola,2004,Developing,47.1,386.0,4.553876891600541,3.53,2.2891733057069223,91.0,3.4011973816621555,17.2,5.030437921392435,4.0,4.71,4.0,1.252762968495368,4.961924206800165,16.752856917549373,1.2,1.1,0.415,6.4,9.584314812992975,33.0,2.0591985458220683,2.656,387.25276296849535
Angola,2003,Developing,46.8,388.0,4.564348191467836,3.49,3.609118760274927,91.0,7.087573705557973,16.8,5.049856007249537,4.0,4.41,4.0,1.2237754316221157,6.659894195892075,14.41619699521707,1.4,1.3,0.406,5.9,9.614204198717374,33.0,2.703917043532183,2.3954000000000004,389.22377543162213
Angola,2002,Developing,46.5,391.0,4.574710978503383,2.82,3.220392354355836,91.0,9.388151773292252,16.3,5.062595033026967,37.0,3.63,41.0,1.1939224684724346,6.568333097950245,16.68185427406064,1.5,1.5,0.401,5.5,9.637306011530349,56.333333333333336,2.6339015722780483,2.2055000000000002,392.1939224684724
Angola,2001,Developing,45.7,44.0,4.584967478670572,2.58,3.445531169651073,91.0,9.110188490025742,15.8,5.075173815233827,41.0,5.38,38.0,1.1314021114911006,6.267520692735661,16.64773912316728,1.7,1.7,0.391,5.1,9.660141293904399,56.666666666666664,2.4506005908596435,1.9941,45.1314021114911
Angola,2000,Developing,45.3,48.0,4.584967478670572,1.85,2.8262179058750525,91.0,7.705262474866325,15.4,5.081404364984463,3.0,2.79,28.0,1.0986122886681098,6.321302219852404,14.313205348437064,1.9,1.9,0.382,4.6,9.666371843655035,40.666666666666664,2.4147374479836183,1.7571999999999999,49.09861228866811
Antigua and Barbuda,2015,Developing,76.4,13.0,0.0,3.77,0.0,99.0,0.0,47.7,0.0,86.0,5.75,99.0,0.1823215567939546,9.515465975066055,14.155425433327226,3.3,3.3,0.784,13.9,0.0,94.66666666666667,7.460125324451788,10.8976,13.182321556793955
Antigua and Barbuda,2014,Developing,76.2,131.0,0.0,8.56,7.793174253954877,99.0,0.0,47.0,0.0,96.0,5.54,99.0,0.1823215567939546,9.46415253044146,14.155425433327226,3.3,3.3,0.782,13.9,0.0,98.0,7.400967278805222,10.869800000000001,131.18232155679397
Antigua and Barbuda,2013,Developing,76.1,133.0,0.0,8.58,7.597110465009863,99.0,0.0,46.4,0.0,98.0,5.33,99.0,0.1823215567939546,9.411308999779358,14.155425433327226,3.3,3.3,0.781,13.9,0.0,98.66666666666667,7.350232328827679,10.8559,133.18232155679397
Antigua and Barbuda,2012,Developing,75.9,134.0,0.0,8.18,7.676580197040668,98.0,0.0,45.7,0.0,97.0,5.39,98.0,0.1823215567939546,9.438785204236783,14.155425433327226,3.3,3.3,0.778,13.8,0.0,97.66666666666667,7.343374888896218,10.736400000000001,134.18232155679397
Antigua and Barbuda,2011,Developing,75.7,136.0,0.0,7.84,7.502117674080872,99.0,0.0,45.1,0.0,99.0,5.65,99.0,0.0953101798043248,9.386840844921688,14.155425433327226,3.3,3.3,0.782,14.1,0.0,99.0,7.34050954072876,11.0262,136.09531017980433
Antigua and Barbuda,2010,Developing,75.6,138.0,0.0,7.84,7.593352498679419,98.0,0.0,44.4,0.0,99.0,5.63,98.0,0.0953101798043248,9.403261895099131,14.155425433327226,3.3,3.3,0.783,14.1,0.0,98.33333333333333,7.36275406386262,11.0403,138.09531017980433
Antigua and Barbuda,2009,Developing,75.4,14.0,0.0,7.82,5.013024008844174,98.0,0.0,43.8,0.0,98.0,4.86,99.0,0.0953101798043248,7.180425424187216,14.155425433327226,3.4,3.3,0.788,14.2,0.0,98.33333333333333,5.658175234259526,11.1896,14.095310179804326
Antigua and Barbuda,2008,Developing,75.2,142.0,0.0,8.27,5.202776642420411,98.0,0.0,43.2,0.0,99.0,4.69,99.0,0.0953101798043248,7.295951623248969,14.155425433327226,3.4,3.3,0.786,14.4,0.0,98.66666666666667,5.73461797587369,11.3184,142.09531017980433
Antigua and Barbuda,2007,Developing,75.0,144.0,0.0,8.64,5.556698828638881,97.0,0.0,42.6,0.0,98.0,4.27,99.0,0.0953101798043248,9.564743353361456,14.155425433327226,3.4,3.3,0.781,14.5,0.0,98.0,7.470064558975297,11.3245,144.09531017980433
Antigua and Barbuda,2006,Developing,74.8,145.0,0.0,8.93,5.381346506237099,99.0,0.0,42.0,0.0,99.0,4.34,99.0,0.0953101798043248,9.451354785537198,14.155425433327226,3.4,3.4,0.773,14.7,0.0,99.0,7.305897249220254,11.3631,145.09531017980433
Antigua and Barbuda,2005,Developing,74.6,147.0,0.0,8.15,7.283865851704862,99.0,0.0,41.4,0.0,98.0,4.41,99.0,0.0953101798043248,9.33899203619325,14.155425433327226,3.5,3.4,0.0,0.0,0.0,98.66666666666667,0.0,0.0,147.09531017980433
Antigua and Barbuda,2004,Developing,74.4,149.0,0.0,7.28,3.172327133241203,97.0,0.0,4.8,0.0,97.0,4.21,97.0,0.0953101798043248,7.210698357634711,14.155425433327226,3.5,3.4,0.0,0.0,0.0,97.0,0.0,0.0,149.09531017980433
Antigua and Barbuda,2003,Developing,74.2,151.0,0.0,7.16,7.055369148053145,99.0,0.0,4.1,0.0,99.0,4.53,99.0,0.0953101798043248,9.184081152798267,14.155425433327226,3.5,3.5,0.0,0.0,0.0,99.0,0.0,0.0,151.09531017980433
Antigua and Barbuda,2002,Developing,74.0,153.0,0.0,7.21,6.833470844875305,99.0,0.0,39.5,0.0,93.0,4.41,98.0,0.0953101798043248,9.147157353276612,14.155425433327226,3.6,3.5,0.0,0.0,0.0,96.66666666666667,0.0,0.0,153.09531017980433
Antigua and Barbuda,2001,Developing,73.8,154.0,0.0,7.51,5.10453658976805,96.0,0.0,38.9,0.0,99.0,4.48,97.0,0.0953101798043248,9.144110198080574,14.155425433327226,3.6,3.5,0.0,0.0,0.0,97.33333333333333,0.0,0.0,154.09531017980433
Antigua and Barbuda,2000,Developing,73.6,156.0,0.0,7.27,7.0288603195538855,91.0,0.0,38.2,0.0,96.0,4.13,95.0,0.0953101798043248,9.19787922700169,14.155425433327226,3.7,3.6,0.0,0.0,0.0,94.0,0.0,0.0,156.09531017980433
Argentina,2015,Developing,76.3,116.0,2.19722457733622,3.77,0.0,94.0,0.0,62.8,2.302585092994046,93.0,5.75,94.0,0.0953101798043248,9.508080957548032,17.58637927014651,1.0,0.9,0.826,17.3,4.499809670330266,93.66666666666667,7.8536748709346735,14.2898,116.09531017980433
Argentina,2014,Developing,76.2,118.0,2.19722457733622,7.93,6.743318919802188,94.0,0.6931471805599453,62.2,2.302585092994046,92.0,4.79,94.0,0.0953101798043248,9.412975573350558,17.576280720776225,1.0,0.9,0.825,17.3,4.499809670330266,93.33333333333333,7.7657048480142095,14.272499999999999,118.09531017980433
Argentina,2013,Developing,76.0,119.0,2.19722457733622,8.28,6.910547708519172,94.0,0.0,61.6,2.3978952727983707,99.0,4.99,94.0,0.0953101798043248,9.470982879686202,17.565953628195594,1.0,0.9,0.823,17.3,4.595119850134591,95.66666666666667,7.794618909981744,14.2379,119.09531017980433
Argentina,2012,Developing,75.9,12.0,2.302585092994046,8.35,7.033998429400421,91.0,1.0986122886681098,61.0,2.3978952727983707,99.0,5.2,91.0,0.0953101798043248,9.47045373583578,15.273367153595794,1.0,0.9,0.822,17.2,4.700480365792417,93.66666666666667,7.7847129708570115,14.138399999999999,12.095310179804326
Argentina,2011,Developing,75.7,12.0,2.302585092994046,8.11,7.316767064853229,91.0,1.3862943611198906,6.4,2.3978952727983707,93.0,5.89,91.0,0.0953101798043248,9.451558281518992,17.544977099009838,1.0,0.9,0.816,17.1,4.700480365792417,91.66666666666667,7.712471557719496,13.9536,12.095310179804326
Argentina,2010,Developing,75.5,121.0,2.3978952727983707,8.15,5.239686454408513,94.0,2.8903717578961645,59.8,2.4849066497880004,95.0,6.55,94.0,0.0953101798043248,7.152476352123157,17.534528500638103,1.0,0.9,0.802,16.8,4.882801922586371,94.33333333333333,5.736286034402773,13.473600000000001,121.09531017980433
Argentina,2009,Developing,75.6,126.0,2.3978952727983707,8.33,7.243543440963352,94.0,1.3862943611198906,59.2,2.4849066497880004,97.0,7.63,94.0,0.0953101798043248,9.00728980531018,13.08143304368226,1.0,0.9,0.794,16.5,4.882801922586371,95.0,7.151788105416283,13.101,126.09531017980433
Argentina,2008,Developing,75.4,126.0,2.3978952727983707,8.41,7.254697817330266,9.0,0.0,58.6,2.4849066497880004,94.0,6.66,93.0,0.0953101798043248,9.099895762521296,15.293104795633656,1.0,0.9,0.792,16.3,4.882801922586371,65.33333333333333,7.207117443916867,12.909600000000001,126.09531017980433
Argentina,2007,Developing,74.8,129.0,2.3978952727983707,8.16,7.009100873519826,85.0,0.0,58.0,2.5649493574615367,92.0,6.49,91.0,0.0953101798043248,8.881088475449316,15.201110928328278,1.1,0.9,0.788,16.3,4.962844630259907,89.33333333333333,6.998297718654061,12.8444,129.09531017980433
Argentina,2006,Developing,75.2,127.0,2.4849066497880004,7.75,6.869198911406456,84.0,0.0,57.5,2.5649493574615367,92.0,6.68,91.0,0.0953101798043248,8.679271439728321,15.19071616547364,1.1,0.9,0.782,16.1,5.049856007249537,89.0,6.787190265867547,12.590200000000001,127.09531017980433
